frame_id,t_rx_us,uplink_latency_ms,path
# epoch,5455402575897,1.0000,1.0000,38,38,6,6,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455402683207,1.0000,1.0000,37,37,5,5,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455402783301,1.0000,1.0000,35,35,5,5,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455402883410,1.0000,1.0000,34,34,4,4,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455402983518,1.0000,1.0000,33,33,3,3,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455403083609,1.0000,1.0000,32,32,2,2,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455403183706,1.0000,1.0000,30,30,2,2,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455403283797,1.0000,1.0000,28,28,2,2,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455403383888,1.0000,1.0000,26,26,2,2,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
# epoch,5455403483978,1.0000,1.0000,24,24,2,2,4.804,0.000,2.402,0.000,0.001,37.2840778,127.0439874,5
